sequence,specimen,species,gene,location,sample_type,serial,dynamic_month,clone_n,pcr_n,pcr_info,serial_raw,serial_bool,first_sampling
BGH150WBGag2,BGH150,human,gag,Charmaguria,WB,,299,2,0,,,False,True
BGH150WBGag4,BGH150,human,gag,Charmaguria,WB,,299,4,0,,,False,True
BGH150WBGag5,BGH150,human,gag,Charmaguria,WB,,299,5,0,,,False,True
BGH150WBGag6,BGH150,human,gag,Charmaguria,WB,,299,6,0,,,False,True
BGH150WBGag8,BGH150,human,gag,Charmaguria,WB,,299,8,0,,,False,True
MBG100WBGag1,MBG100,monkey,gag,Charmaguria,WB,,299,1,0,,,False,True
MBG100WBGag2,MBG100,monkey,gag,Charmaguria,WB,,299,2,0,,,False,True
MBG100WBGag3,MBG100,monkey,gag,Charmaguria,WB,,299,3,0,,,False,True
MBG100WBGag4,MBG100,monkey,gag,Charmaguria,WB,,299,4,0,,,False,True
MBG100WBGag6,MBG100,monkey,gag,Charmaguria,WB,,299,6,0,,,False,True
MBG100WBGag7,MBG100,monkey,gag,Charmaguria,WB,,299,7,0,,,False,True
MBG101WBGag1,MBG101,monkey,gag,Charmaguria,WB,,299,1,0,,,False,True
MBG101WBGag3,MBG101,monkey,gag,Charmaguria,WB,,299,3,0,,,False,True
MBG101WBGag4,MBG101,monkey,gag,Charmaguria,WB,,299,4,0,,,False,True
MBG101WBGag5,MBG101,monkey,gag,Charmaguria,WB,,299,5,0,,,False,True
MBG101WBGag6,MBG101,monkey,gag,Charmaguria,WB,,299,6,0,,,False,True
MBG101WBGag7,MBG101,monkey,gag,Charmaguria,WB,,299,7,0,,,False,True
MBG53WBGag1,MBG53,monkey,gag,Charmaguria,WB,,282,1,0,,,False,True
MBG53WBGag6,MBG53,monkey,gag,Charmaguria,WB,,282,6,0,,,False,True
MBG53WBGag106,MBG53,monkey,gag,Charmaguria,WB,,282,106,1,,,False,True
MBG53WBGag107,MBG53,monkey,gag,Charmaguria,WB,,282,107,1,,,False,True
MBG53hsWBGag201,MBG53,monkey,gag,Charmaguria,WB,,282,201,2,hs,,False,True
MBG54WBGag1,MBG54,monkey,gag,Charmaguria,WB,,282,1,0,,,False,True
MBG54WBGag4,MBG54,monkey,gag,Charmaguria,WB,,282,4,0,,,False,True
MBG54WBGag7,MBG54,monkey,gag,Charmaguria,WB,,282,7,0,,,False,True
MBG54WBGag9,MBG54,monkey,gag,Charmaguria,WB,,282,9,0,,,False,True
MBG54WBGag101,MBG54,monkey,gag,Charmaguria,WB,,282,101,1,,,False,True
MBG55WBGag3,MBG55,monkey,gag,Charmaguria,WB,,282,3,0,,,False,True
MBG55WBGag4,MBG55,monkey,gag,Charmaguria,WB,,282,4,0,,,False,True
MBG55WBGag100,MBG55,monkey,gag,Charmaguria,WB,,282,100,1,,,False,True
MBG55WBGag201,MBG55,monkey,gag,Charmaguria,WB,,282,201,2,,,False,True
MBG55WBGag202,MBG55,monkey,gag,Charmaguria,WB,,282,202,2,,,False,True
MBG55WBGag205,MBG55,monkey,gag,Charmaguria,WB,,282,205,2,,,False,True
MBG56WBGag2,MBG56,monkey,gag,Charmaguria,WB,,282,2,0,,,False,True
MBG56WBGag3,MBG56,monkey,gag,Charmaguria,WB,,282,3,0,,,False,True
MBG56WBGag4,MBG56,monkey,gag,Charmaguria,WB,,282,4,0,,,False,True
MBG56WBGag5,MBG56,monkey,gag,Charmaguria,WB,,282,5,0,,,False,True
MBG56WBGag6,MBG56,monkey,gag,Charmaguria,WB,,282,6,0,,,False,True
MBG56WBGag7,MBG56,monkey,gag,Charmaguria,WB,,282,7,0,,,False,True
MBG56WBGag8,MBG56,monkey,gag,Charmaguria,WB,,282,8,0,,,False,True
MBG57WBGag3,MBG57,monkey,gag,Charmaguria,WB,,282,3,0,,,False,True
MBG57WBGag4,MBG57,monkey,gag,Charmaguria,WB,,282,4,0,,,False,True
MBG57WBGag101,MBG57,monkey,gag,Charmaguria,WB,,282,101,1,,,False,True
MBG57WBGag102,MBG57,monkey,gag,Charmaguria,WB,,282,102,1,,,False,True
MBG57WBGag103,MBG57,monkey,gag,Charmaguria,WB,,282,103,1,,,False,True
MBG57WBGag104,MBG57,monkey,gag,Charmaguria,WB,,282,104,1,,,False,True
MBG57WBGag105,MBG57,monkey,gag,Charmaguria,WB,,282,105,1,,,False,True
MBG57WBGag106,MBG57,monkey,gag,Charmaguria,WB,,282,106,1,,,False,True
MBG58WBGag3,MBG58,monkey,gag,Charmaguria,WB,,282,3,0,,,False,True
MBG58WBGag4,MBG58,monkey,gag,Charmaguria,WB,,282,4,0,,,False,True
MBG58WBGag5,MBG58,monkey,gag,Charmaguria,WB,,282,5,0,,,False,True
MBG58WBGag103,MBG58,monkey,gag,Charmaguria,WB,,282,103,1,,,False,True
MBG58WBGag201,MBG58,monkey,gag,Charmaguria,WB,,282,201,2,,,False,True
MBG58WBGag205,MBG58,monkey,gag,Charmaguria,WB,,282,205,2,,,False,True
MBG58WBGag207,MBG58,monkey,gag,Charmaguria,WB,,282,207,2,,,False,True
MBG59WBGag3,MBG59,monkey,gag,Charmaguria,WB,,282,3,0,,,False,True
MBG59WBGag5,MBG59,monkey,gag,Charmaguria,WB,,282,5,0,,,False,True
MBG59WBGag7,MBG59,monkey,gag,Charmaguria,WB,,282,7,0,,,False,True
MBG59WBGag101,MBG59,monkey,gag,Charmaguria,WB,,282,101,1,,,False,True
MBG59WBGag102,MBG59,monkey,gag,Charmaguria,WB,,282,102,1,,,False,True
MBG59WBGag103,MBG59,monkey,gag,Charmaguria,WB,,282,103,1,,,False,True
MBG60WBGag4,MBG60,monkey,gag,Charmaguria,WB,,282,4,0,,,False,True
MBG60WBGag5,MBG60,monkey,gag,Charmaguria,WB,,282,5,0,,,False,True
MBG60WBGag10,MBG60,monkey,gag,Charmaguria,WB,,282,10,0,,,False,True
