sequence,specimen,species,gene,location,sample_type,serial,dynamic_month,clone_n,pcr_n,pcr_info,serial_raw,serial_bool,first_sampling
BGH4WBGag1,BGH4,human,gag,Dhamrai,WB,,265,1,0,,,False,True
BGH4WBGag2,BGH4,human,gag,Dhamrai,WB,,265,2,0,,,False,True
BGH4WBGag3,BGH4,human,gag,Dhamrai,WB,,265,3,0,,,False,True
BGH4WBGag4,BGH4,human,gag,Dhamrai,WB,,265,4,0,,,False,True
MBG11WBGag2,MBG11,monkey,gag,Dhamrai,WB,,265,2,0,,,False,True
MBG11WBGag3,MBG11,monkey,gag,Dhamrai,WB,,265,3,0,,,False,True
MBG11WBGag4,MBG11,monkey,gag,Dhamrai,WB,,265,4,0,,,False,True
MBG11WBGag5,MBG11,monkey,gag,Dhamrai,WB,,265,5,0,,,False,True
MBG11WBGag6,MBG11,monkey,gag,Dhamrai,WB,,265,6,0,,,False,True
MBG11WBGag7,MBG11,monkey,gag,Dhamrai,WB,,265,7,0,,,False,True
MBG13WBGag1,MBG13,monkey,gag,Dhamrai,WB,,265,1,0,,,False,True
MBG13WBGag2,MBG13,monkey,gag,Dhamrai,WB,,265,2,0,,,False,True
MBG13WBGag3,MBG13,monkey,gag,Dhamrai,WB,,265,3,0,,,False,True
MBG13WBGag4,MBG13,monkey,gag,Dhamrai,WB,,265,4,0,,,False,True
MBG13WBGag5,MBG13,monkey,gag,Dhamrai,WB,,265,5,0,,,False,True
MBG13WBGag6,MBG13,monkey,gag,Dhamrai,WB,,265,6,0,,,False,True
MBG14WBGag1,MBG14,monkey,gag,Dhamrai,WB,,265,1,0,,,False,True
MBG14WBGag2,MBG14,monkey,gag,Dhamrai,WB,,265,2,0,,,False,True
MBG14WBGag3,MBG14,monkey,gag,Dhamrai,WB,,265,3,0,,,False,True
MBG14WBGag4,MBG14,monkey,gag,Dhamrai,WB,,265,4,0,,,False,True
MBG14WBGag5,MBG14,monkey,gag,Dhamrai,WB,,265,5,0,,,False,True
MBG14WBGag6,MBG14,monkey,gag,Dhamrai,WB,,265,6,0,,,False,True
MBG174hsnWBGag101,MBG174,monkey,gag,Dhamrai,WB,1,313,101,1,hsn,,True,True
MBG174hsnWBGag102,MBG174,monkey,gag,Dhamrai,WB,1,313,102,1,hsn,,True,True
MBG174hsnWBGag103,MBG174,monkey,gag,Dhamrai,WB,1,313,103,1,hsn,,True,True
MBG174WBGag104,MBG174,monkey,gag,Dhamrai,WB,1,313,104,1,,,True,True
