sequence,specimen,species,gene,location,sample_type,serial,dynamic_month,clone_n,pcr_n,pcr_info,serial_raw,serial_bool,first_sampling
MBG157WBGag1,MBG157,monkey,gag,Dokhola,WB,,313,1,0,,,False,True
MBG157WBGag2,MBG157,monkey,gag,Dokhola,WB,,313,2,0,,,False,True
MBG157WBGag3,MBG157,monkey,gag,Dokhola,WB,,313,3,0,,,False,True
MBG157hsnWBGag101,MBG157,monkey,gag,Dokhola,WB,,313,101,1,hsn,,False,True
MBG157hsnWBGag102,MBG157,monkey,gag,Dokhola,WB,,313,102,1,hsn,,False,True
MBG157hsnWBGag104,MBG157,monkey,gag,Dokhola,WB,,313,104,1,hsn,,False,True
MBG157WBGag201,MBG157,monkey,gag,Dokhola,WB,,313,201,2,,,False,True
MBG157WBGag202,MBG157,monkey,gag,Dokhola,WB,,313,202,2,,,False,True
MBG157WBGag203,MBG157,monkey,gag,Dokhola,WB,,313,203,2,,,False,True
MBG157WBGag204,MBG157,monkey,gag,Dokhola,WB,,313,204,2,,,False,True
MBG158hsnWBGag102,MBG158,monkey,gag,Dokhola,WB,,313,102,1,hsn,,False,True
MBG158hsnWBGag103,MBG158,monkey,gag,Dokhola,WB,,313,103,1,hsn,,False,True
MBG158hsnWBGag104,MBG158,monkey,gag,Dokhola,WB,,313,104,1,hsn,,False,True
MBG158WBGag108,MBG158,monkey,gag,Dokhola,WB,,313,108,1,,,False,True
MBG158WBGag201,MBG158,monkey,gag,Dokhola,WB,,313,201,2,,,False,True
MBG158WBGag202,MBG158,monkey,gag,Dokhola,WB,,313,202,2,,,False,True
MBG158WBGag203,MBG158,monkey,gag,Dokhola,WB,,313,203,2,,,False,True
MBG158WBGag204,MBG158,monkey,gag,Dokhola,WB,,313,204,2,,,False,True
MBG159hsnWBGag101,MBG159,monkey,gag,Dokhola,WB,,313,101,1,hsn,,False,True
MBG159hsnWBGag102,MBG159,monkey,gag,Dokhola,WB,,313,102,1,hsn,,False,True
MBG159hsnWBGag103,MBG159,monkey,gag,Dokhola,WB,,313,103,1,hsn,,False,True
MBG159hsnWBGag104,MBG159,monkey,gag,Dokhola,WB,,313,104,1,hsn,,False,True
MBG159hsnWBGag105,MBG159,monkey,gag,Dokhola,WB,,313,105,1,hsn,,False,True
MBG159hsnWBGag108,MBG159,monkey,gag,Dokhola,WB,,313,108,1,hsn,,False,True
MBG160WBGag5,MBG160,monkey,gag,Dokhola,WB,,313,5,0,,,False,True
MBG160hsnWBGag6,MBG160,monkey,gag,Dokhola,WB,,313,6,0,hsn,,False,True
MBG160hsnWBGag7,MBG160,monkey,gag,Dokhola,WB,,313,7,0,hsn,,False,True
MBG160hsnWBGag101,MBG160,monkey,gag,Dokhola,WB,,313,101,1,hsn,,False,True
MBG160hsnWBGag102,MBG160,monkey,gag,Dokhola,WB,,313,102,1,hsn,,False,True
MBG160hsnWBGag103,MBG160,monkey,gag,Dokhola,WB,,313,103,1,hsn,,False,True
MBG160WBGag201,MBG160,monkey,gag,Dokhola,WB,,313,201,2,,,False,True
MBG160WBGag202,MBG160,monkey,gag,Dokhola,WB,,313,202,2,,,False,True
MBG160WBGag203,MBG160,monkey,gag,Dokhola,WB,,313,203,2,,,False,True
MBG160WBGag204,MBG160,monkey,gag,Dokhola,WB,,313,204,2,,,False,True
MBG160WBGag205,MBG160,monkey,gag,Dokhola,WB,,313,205,2,,,False,True
MBG161WBGag1,MBG161,monkey,gag,Dokhola,WB,,313,1,0,,,False,True
MBG161WBGag2,MBG161,monkey,gag,Dokhola,WB,,313,2,0,,,False,True
MBG161WBGag3,MBG161,monkey,gag,Dokhola,WB,,313,3,0,,,False,True
MBG161WBGag4,MBG161,monkey,gag,Dokhola,WB,,313,4,0,,,False,True
MBG161hsnWBGag105,MBG161,monkey,gag,Dokhola,WB,,313,105,1,hsn,,False,True
MBG161hsnWBGag107,MBG161,monkey,gag,Dokhola,WB,,313,107,1,hsn,,False,True
MBG161WBGag201,MBG161,monkey,gag,Dokhola,WB,,313,201,2,,,False,True
MBG161WBGag202,MBG161,monkey,gag,Dokhola,WB,,313,202,2,,,False,True
MBG161WBGag203,MBG161,monkey,gag,Dokhola,WB,,313,203,2,,,False,True
MBG161WBGag204,MBG161,monkey,gag,Dokhola,WB,,313,204,2,,,False,True
MBG161WBGag205,MBG161,monkey,gag,Dokhola,WB,,313,205,2,,,False,True
MBG162WBGag3,MBG162,monkey,gag,Dokhola,WB,,313,3,0,,,False,True
MBG162WBGag5,MBG162,monkey,gag,Dokhola,WB,,313,5,0,,,False,True
MBG162hsnWBGag101,MBG162,monkey,gag,Dokhola,WB,,313,101,1,hsn,,False,True
MBG162hsnWBGag102,MBG162,monkey,gag,Dokhola,WB,,313,102,1,hsn,,False,True
MBG162hsnWBGag103,MBG162,monkey,gag,Dokhola,WB,,313,103,1,hsn,,False,True
MBG162hsnWBGag105,MBG162,monkey,gag,Dokhola,WB,,313,105,1,hsn,,False,True
MBG163hsnWBGag1,MBG163,monkey,gag,Dokhola,WB,,313,1,0,hsn,,False,True
MBG163hsnWBGag4,MBG163,monkey,gag,Dokhola,WB,,313,4,0,hsn,,False,True
MBG163hsnWBGag102,MBG163,monkey,gag,Dokhola,WB,,313,102,1,hsn,,False,True
MBG163hsnWBGag105,MBG163,monkey,gag,Dokhola,WB,,313,105,1,hsn,,False,True
MBG163hsnWBGag106,MBG163,monkey,gag,Dokhola,WB,,313,106,1,hsn,,False,True
MBG163WBGag201,MBG163,monkey,gag,Dokhola,WB,,313,201,2,,,False,True
