sequence,specimen,species,gene,location,sample_type,serial,dynamic_month,clone_n,pcr_n,pcr_info,serial_raw,serial_bool,first_sampling
MBG105WBGag3,MBG105,monkey,gag,Karamjal,WB,2,313,3,0,,,True,False
MBG145WBGag2,MBG145,monkey,gag,Karamjal,WB,,313,2,0,,,False,True
MBG145WBGag3,MBG145,monkey,gag,Karamjal,WB,,313,3,0,,,False,True
MBG145WBGag102,MBG145,monkey,gag,Karamjal,WB,,313,102,1,,,False,True
MBG145hsnWBGag201,MBG145,monkey,gag,Karamjal,WB,,313,201,2,hsn,,False,True
MBG145hsnWBGag202,MBG145,monkey,gag,Karamjal,WB,,313,202,2,hsn,,False,True
MBG145hsnWBGag204,MBG145,monkey,gag,Karamjal,WB,,313,204,2,hsn,,False,True
MBG146WBGag1,MBG146,monkey,gag,Karamjal,WB,,313,1,0,,,False,True
MBG146WBGag2,MBG146,monkey,gag,Karamjal,WB,,313,2,0,,,False,True
MBG146WBGag3,MBG146,monkey,gag,Karamjal,WB,,313,3,0,,,False,True
MBG146hsnWBGag202,MBG146,monkey,gag,Karamjal,WB,,313,202,2,hsn,,False,True
MBG146hsnWBGag203,MBG146,monkey,gag,Karamjal,WB,,313,203,2,hsn,,False,True
MBG146hsnWBGag206,MBG146,monkey,gag,Karamjal,WB,,313,206,2,hsn,,False,True
MBG146hsnWBGag207,MBG146,monkey,gag,Karamjal,WB,,313,207,2,hsn,,False,True
MBG147hsnWBGag2,MBG147,monkey,gag,Karamjal,WB,,313,2,0,hsn,,False,True
MBG147hsnWBGag3,MBG147,monkey,gag,Karamjal,WB,,313,3,0,hsn,,False,True
MBG147WBGag101,MBG147,monkey,gag,Karamjal,WB,,313,101,1,,,False,True
MBG147WBGag104,MBG147,monkey,gag,Karamjal,WB,,313,104,1,,,False,True
MBG147WBGag105,MBG147,monkey,gag,Karamjal,WB,,313,105,1,,,False,True
MBG148hsnWBGag1,MBG148,monkey,gag,Karamjal,WB,,313,1,0,hsn,,False,True
MBG148hsnWBGag3,MBG148,monkey,gag,Karamjal,WB,,313,3,0,hsn,,False,True
MBG148hsnWBGag6,MBG148,monkey,gag,Karamjal,WB,,313,6,0,hsn,,False,True
MBG148hsnWBGag11,MBG148,monkey,gag,Karamjal,WB,,313,11,0,hsn,,False,True
MBG148hsWBGag103,MBG148,monkey,gag,Karamjal,WB,,313,103,1,hs,,False,True
MBG148hsWBGag105,MBG148,monkey,gag,Karamjal,WB,,313,105,1,hs,,False,True
MBG148WBGag201,MBG148,monkey,gag,Karamjal,WB,,313,201,2,,,False,True
MBG148WBGag301,MBG148,monkey,gag,Karamjal,WB,,313,301,3,,,False,True
MBG148WBGag303,MBG148,monkey,gag,Karamjal,WB,,313,303,3,,,False,True
MBG149hsnWBGag1,MBG149,monkey,gag,Karamjal,WB,,313,1,0,hsn,,False,True
MBG149hsnWBGag2,MBG149,monkey,gag,Karamjal,WB,,313,2,0,hsn,,False,True
MBG149hsWBGag103,MBG149,monkey,gag,Karamjal,WB,,313,103,1,hs,,False,True
MBG149hsWBGag104,MBG149,monkey,gag,Karamjal,WB,,313,104,1,hs,,False,True
MBG149WBGag401,MBG149,monkey,gag,Karamjal,WB,,313,401,4,,,False,True
MBG149WBGag402,MBG149,monkey,gag,Karamjal,WB,,313,402,4,,,False,True
MBG149WBGag403,MBG149,monkey,gag,Karamjal,WB,,313,403,4,,,False,True
MBG150hsnWBGag2,MBG150,monkey,gag,Karamjal,WB,,313,2,0,hsn,,False,True
MBG150hsnWBGag4,MBG150,monkey,gag,Karamjal,WB,,313,4,0,hsn,,False,True
