sequence,specimen,species,gene,location,sample_type,serial,dynamic_month,clone_n,pcr_n,pcr_info,serial_raw,serial_bool,first_sampling
BGH59WBGag203,BGH59,human,gag,Narayanganj,WB,3,328,203,2,,,True,False
BGH59WBGag204,BGH59,human,gag,Narayanganj,WB,3,328,204,2,,,True,False
BGH59WBGag205,BGH59,human,gag,Narayanganj,WB,3,328,205,2,,,True,False
BGH59WBGag206,BGH59,human,gag,Narayanganj,WB,3,328,206,2,,,True,False
MBG102WBGag6,MBG102,monkey,gag,Narayanganj,WB,,303,6,0,,,False,True
MBG102WBGag103,MBG102,monkey,gag,Narayanganj,WB,,303,103,1,,,False,True
MBG102WBGag104,MBG102,monkey,gag,Narayanganj,WB,,303,104,1,,,False,True
MBG102WBGag201,MBG102,monkey,gag,Narayanganj,WB,,303,201,2,,,False,True
MBG102WBGag203,MBG102,monkey,gag,Narayanganj,WB,,303,203,2,,,False,True
MBG102WBGag204,MBG102,monkey,gag,Narayanganj,WB,,303,204,2,,,False,True
MBG103WBGag1,MBG103,monkey,gag,Narayanganj,WB,,303,1,0,,,False,True
MBG103WBGag2,MBG103,monkey,gag,Narayanganj,WB,,303,2,0,,,False,True
MBG103WBGag3,MBG103,monkey,gag,Narayanganj,WB,,303,3,0,,,False,True
MBG103WBGag6,MBG103,monkey,gag,Narayanganj,WB,,303,6,0,,,False,True
MBG103WBGag101,MBG103,monkey,gag,Narayanganj,WB,,303,101,1,,,False,True
MBG103WBGag102,MBG103,monkey,gag,Narayanganj,WB,,303,102,1,,,False,True
MBG103WBGag103,MBG103,monkey,gag,Narayanganj,WB,,303,103,1,,,False,True
MBG103WBGag104,MBG103,monkey,gag,Narayanganj,WB,,303,104,1,,,False,True
MBG104hsnWBGag101,MBG104,monkey,gag,Narayanganj,WB,,303,101,1,hsn,,False,True
MBG104hsnWBGag102,MBG104,monkey,gag,Narayanganj,WB,,303,102,1,hsn,,False,True
MBG104hsnWBGag103,MBG104,monkey,gag,Narayanganj,WB,,303,103,1,hsn,,False,True
MBG104hsnWBGag104,MBG104,monkey,gag,Narayanganj,WB,,303,104,1,hsn,,False,True
MBG104WBGag106,MBG104,monkey,gag,Narayanganj,WB,,303,106,1,,,False,True
MBG104WBGag107,MBG104,monkey,gag,Narayanganj,WB,,303,107,1,,,False,True
MBG104WBGag108,MBG104,monkey,gag,Narayanganj,WB,,303,108,1,,,False,True
MBG105WBGag1,MBG105,monkey,gag,Narayanganj,WB,1,303,1,0,,,True,True
MBG105WBGag2,MBG105,monkey,gag,Narayanganj,WB,1,303,2,0,,,True,True
MBG105WBGag101,MBG105,monkey,gag,Narayanganj,WB,1,303,101,1,,,True,True
MBG105WBGag103,MBG105,monkey,gag,Narayanganj,WB,1,303,103,1,,,True,True
MBG105WBGag104,MBG105,monkey,gag,Narayanganj,WB,1,303,104,1,,,True,True
MBG105WBGag105,MBG105,monkey,gag,Narayanganj,WB,1,303,105,1,,,True,True
MBG107WBGag1,MBG107,monkey,gag,Narayanganj,WB,,303,1,0,,,False,True
MBG107WBGag2,MBG107,monkey,gag,Narayanganj,WB,,303,2,0,,,False,True
MBG107WBGag3,MBG107,monkey,gag,Narayanganj,WB,,303,3,0,,,False,True
MBG107WBGag101,MBG107,monkey,gag,Narayanganj,WB,,303,101,1,,,False,True
MBG107WBGag103,MBG107,monkey,gag,Narayanganj,WB,,303,103,1,,,False,True
MBG107WBGag105,MBG107,monkey,gag,Narayanganj,WB,,303,105,1,,,False,True
MBG108WBGag2,MBG108,monkey,gag,Narayanganj,WB,,303,2,0,,,False,True
MBG108WBGag3,MBG108,monkey,gag,Narayanganj,WB,,303,3,0,,,False,True
MBG108WBGag4,MBG108,monkey,gag,Narayanganj,WB,,303,4,0,,,False,True
MBG108WBGag101,MBG108,monkey,gag,Narayanganj,WB,,303,101,1,,,False,True
MBG108WBGag105,MBG108,monkey,gag,Narayanganj,WB,,303,105,1,,,False,True
MBG108WBGag106,MBG108,monkey,gag,Narayanganj,WB,,303,106,1,,,False,True
MBG108WBGag107,MBG108,monkey,gag,Narayanganj,WB,,303,107,1,,,False,True
MBG109WBGag1,MBG109,monkey,gag,Narayanganj,WB,,303,1,0,,,False,True
MBG109WBGag2,MBG109,monkey,gag,Narayanganj,WB,,303,2,0,,,False,True
MBG109WBGag4,MBG109,monkey,gag,Narayanganj,WB,,303,4,0,,,False,True
MBG109WBGag6,MBG109,monkey,gag,Narayanganj,WB,,303,6,0,,,False,True
MBG109WBGag8,MBG109,monkey,gag,Narayanganj,WB,,303,8,0,,,False,True
MBG109WBGag9,MBG109,monkey,gag,Narayanganj,WB,,303,9,0,,,False,True
MBG189hsnWBGag102,MBG189,monkey,gag,Narayanganj,WB,,313,102,1,hsn,,False,True
MBG189hsnWBGag103,MBG189,monkey,gag,Narayanganj,WB,,313,103,1,hsn,,False,True
MBG189hsnWBGag104,MBG189,monkey,gag,Narayanganj,WB,,313,104,1,hsn,,False,True
MBG189hsnWBGag105,MBG189,monkey,gag,Narayanganj,WB,,313,105,1,hsn,,False,True
MBG190hsnWBGag1,MBG190,monkey,gag,Narayanganj,WB,,313,1,0,hsn,,False,True
MBG190hsnWBGag2,MBG190,monkey,gag,Narayanganj,WB,,313,2,0,hsn,,False,True
MBG190hsnWBGag3,MBG190,monkey,gag,Narayanganj,WB,,313,3,0,hsn,,False,True
MBG190hsnWBGag101,MBG190,monkey,gag,Narayanganj,WB,,313,101,1,hsn,,False,True
MBG190hsnWBGag102,MBG190,monkey,gag,Narayanganj,WB,,313,102,1,hsn,,False,True
MBG190hsnWBGag103,MBG190,monkey,gag,Narayanganj,WB,,313,103,1,hsn,,False,True
