sequence,specimen,species,gene,location,sample_type,serial,dynamic_month,clone_n,pcr_n,pcr_info,serial_raw,serial_bool,first_sampling
MBG1hsnWBGag101,MBG1,monkey,gag,Performing,WB,,264,101,1,hsn,,False,True
MBG1hsnWBGag102,MBG1,monkey,gag,Performing,WB,,264,102,1,hsn,,False,True
MBG1hsnWBGag103,MBG1,monkey,gag,Performing,WB,,264,103,1,hsn,,False,True
MBG110WBGag1,MBG110,monkey,gag,Performing,WB,,303,1,0,,,False,True
MBG110WBGag2,MBG110,monkey,gag,Performing,WB,,303,2,0,,,False,True
MBG110WBGag3,MBG110,monkey,gag,Performing,WB,,303,3,0,,,False,True
MBG110WBGag101,MBG110,monkey,gag,Performing,WB,,303,101,1,,,False,True
MBG110WBGag102,MBG110,monkey,gag,Performing,WB,,303,102,1,,,False,True
MBG110WBGag103,MBG110,monkey,gag,Performing,WB,,303,103,1,,,False,True
MBG111WBGag1,MBG111,monkey,gag,Performing,WB,,303,1,0,,,False,True
MBG111WBGag2,MBG111,monkey,gag,Performing,WB,,303,2,0,,,False,True
MBG111WBGag3,MBG111,monkey,gag,Performing,WB,,303,3,0,,,False,True
MBG111WBGag101,MBG111,monkey,gag,Performing,WB,,303,101,1,,,False,True
MBG111WBGag103,MBG111,monkey,gag,Performing,WB,,303,103,1,,,False,True
MBG111WBGag104,MBG111,monkey,gag,Performing,WB,,303,104,1,,,False,True
MBG112WBGag1,MBG112,monkey,gag,Performing,WB,,303,1,0,,,False,True
MBG112WBGag2,MBG112,monkey,gag,Performing,WB,,303,2,0,,,False,True
MBG112WBGag4,MBG112,monkey,gag,Performing,WB,,303,4,0,,,False,True
MBG112WBGag101,MBG112,monkey,gag,Performing,WB,,303,101,1,,,False,True
MBG112WBGag102,MBG112,monkey,gag,Performing,WB,,303,102,1,,,False,True
MBG112WBGag201,MBG112,monkey,gag,Performing,WB,,303,201,2,,,False,True
MBG112WBGag204,MBG112,monkey,gag,Performing,WB,,303,204,2,,,False,True
MBG114WBGag5,MBG114,monkey,gag,Performing,WB,,303,5,0,,,False,True
MBG114WBGag10,MBG114,monkey,gag,Performing,WB,,303,10,0,,,False,True
MBG114WBGag103,MBG114,monkey,gag,Performing,WB,,303,103,1,,,False,True
MBG114WBGag105,MBG114,monkey,gag,Performing,WB,,303,105,1,,,False,True
MBG114WBGag113,MBG114,monkey,gag,Performing,WB,,303,113,1,,,False,True
MBG114WBGag202,MBG114,monkey,gag,Performing,WB,,303,202,2,,,False,True
MBG115WBGag1,MBG115,monkey,gag,Performing,WB,,303,1,0,,,False,True
MBG115WBGag104,MBG115,monkey,gag,Performing,WB,,303,104,1,,,False,True
MBG115WBGag106,MBG115,monkey,gag,Performing,WB,,303,106,1,,,False,True
MBG115WBGag108,MBG115,monkey,gag,Performing,WB,,303,108,1,,,False,True
MBG115WBGag109,MBG115,monkey,gag,Performing,WB,,303,109,1,,,False,True
MBG115WBGag110,MBG115,monkey,gag,Performing,WB,,303,110,1,,,False,True
MBG116WBGag5,MBG116,monkey,gag,Performing,WB,,303,5,0,,,False,True
MBG116WBGag102,MBG116,monkey,gag,Performing,WB,,303,102,1,,,False,True
MBG116WBGag104,MBG116,monkey,gag,Performing,WB,,303,104,1,,,False,True
MBG116WBGag203,MBG116,monkey,gag,Performing,WB,,303,203,2,,,False,True
MBG116WBGag205,MBG116,monkey,gag,Performing,WB,,303,205,2,,,False,True
MBG116WBGag206,MBG116,monkey,gag,Performing,WB,,303,206,2,,,False,True
MBG117WBGag1,MBG117,monkey,gag,Performing,WB,,303,1,0,,,False,True
MBG117WBGag2,MBG117,monkey,gag,Performing,WB,,303,2,0,,,False,True
MBG117WBGag3,MBG117,monkey,gag,Performing,WB,,303,3,0,,,False,True
MBG117WBGag101,MBG117,monkey,gag,Performing,WB,,303,101,1,,,False,True
MBG117hsWBGag201,MBG117,monkey,gag,Performing,WB,,303,201,2,hs,,False,True
MBG118WBGag2,MBG118,monkey,gag,Performing,WB,,303,2,0,,,False,True
MBG118WBGag4,MBG118,monkey,gag,Performing,WB,,303,4,0,,,False,True
MBG118WBGag101,MBG118,monkey,gag,Performing,WB,,303,101,1,,,False,True
MBG118WBGag102,MBG118,monkey,gag,Performing,WB,,303,102,1,,,False,True
MBG118WBGag302,MBG118,monkey,gag,Performing,WB,,303,302,3,,,False,True
MBG118WBGag303,MBG118,monkey,gag,Performing,WB,,303,303,3,,,False,True
MBG118WBGag304,MBG118,monkey,gag,Performing,WB,,303,304,3,,,False,True
MBG118WBGag306,MBG118,monkey,gag,Performing,WB,,303,306,3,,,False,True
MBG122WBGag1,MBG122,monkey,gag,Performing,WB,,303,1,0,,,False,True
MBG122WBGag2,MBG122,monkey,gag,Performing,WB,,303,2,0,,,False,True
MBG122WBGag106,MBG122,monkey,gag,Performing,WB,,303,106,1,,,False,True
MBG122WBGag201,MBG122,monkey,gag,Performing,WB,,303,201,2,,,False,True
MBG122WBGag202,MBG122,monkey,gag,Performing,WB,,303,202,2,,,False,True
MBG122WBGag203,MBG122,monkey,gag,Performing,WB,,303,203,2,,,False,True
MBG122WBGag204,MBG122,monkey,gag,Performing,WB,,303,204,2,,,False,True
MBG124WBGag3,MBG124,monkey,gag,Performing,WB,,303,3,0,,,False,True
MBG124WBGag101,MBG124,monkey,gag,Performing,WB,,303,101,1,,,False,True
MBG124WBGag201,MBG124,monkey,gag,Performing,WB,,303,201,2,,,False,True
MBG124WBGag302,MBG124,monkey,gag,Performing,WB,,303,302,3,,,False,True
MBG124WBGag303,MBG124,monkey,gag,Performing,WB,,303,303,3,,,False,True
MBG124WBGag304,MBG124,monkey,gag,Performing,WB,,303,304,3,,,False,True
MBG124WBGag305,MBG124,monkey,gag,Performing,WB,,303,305,3,,,False,True
MBG125WBGag1,MBG125,monkey,gag,Performing,WB,,312,1,0,,,False,True
MBG125WBGag2,MBG125,monkey,gag,Performing,WB,,312,2,0,,,False,True
MBG125WBGag3,MBG125,monkey,gag,Performing,WB,,312,3,0,,,False,True
MBG125hsnWBGag201,MBG125,monkey,gag,Performing,WB,,312,201,2,hsn,,False,True
MBG125hsnWBGag207,MBG125,monkey,gag,Performing,WB,,312,207,2,hsn,,False,True
MBG125hsnWBGag210,MBG125,monkey,gag,Performing,WB,,312,210,2,hsn,,False,True
MBG125hsnWBGag211,MBG125,monkey,gag,Performing,WB,,312,211,2,hsn,,False,True
MBG127hsnWBGag104,MBG127,monkey,gag,Performing,WB,,312,104,1,hsn,,False,True
MBG129WBGag1,MBG129,monkey,gag,Performing,WB,,312,1,0,,,False,True
MBG129WBGag2,MBG129,monkey,gag,Performing,WB,,312,2,0,,,False,True
MBG129WBGag3,MBG129,monkey,gag,Performing,WB,,312,3,0,,,False,True
MBG129hsnWBGag301,MBG129,monkey,gag,Performing,WB,,312,301,3,hsn,,False,True
MBG129hsnWBGag303,MBG129,monkey,gag,Performing,WB,,312,303,3,hsn,,False,True
MBG129hsnWBGag304,MBG129,monkey,gag,Performing,WB,,312,304,3,hsn,,False,True
MBG129hsnWBGag306,MBG129,monkey,gag,Performing,WB,,312,306,3,hsn,,False,True
