specimen,species,location,count
BGH150,human,Charmaguria,5
BGH31,human,Bormi,6
BGH34,human,Bormi,8
BGH4,human,Dhamrai,4
BGH59,human,Bormi,15
BGH59,human,Narayanganj,4
BGH63,human,Bormi,15
BGH83,human,Bormi,16
BGH98,human,Bormi,4
MBG1,monkey,Performing,3
MBG100,monkey,Charmaguria,6
MBG101,monkey,Charmaguria,6
MBG102,monkey,Narayanganj,6
MBG103,monkey,Narayanganj,8
MBG104,monkey,Narayanganj,7
MBG105,monkey,Karamjal,1
MBG105,monkey,Narayanganj,6
MBG107,monkey,Narayanganj,6
MBG108,monkey,Narayanganj,7
MBG109,monkey,Narayanganj,6
MBG11,monkey,Dhamrai,6
MBG110,monkey,Performing,6
MBG111,monkey,Performing,6
MBG112,monkey,Performing,7
MBG114,monkey,Performing,6
MBG115,monkey,Performing,6
MBG116,monkey,Performing,6
MBG117,monkey,Performing,5
MBG118,monkey,Performing,8
MBG122,monkey,Performing,7
MBG124,monkey,Performing,7
MBG125,monkey,Performing,7
MBG127,monkey,Performing,1
MBG129,monkey,Performing,7
MBG13,monkey,Dhamrai,6
MBG130,monkey,Performing,5
MBG132,monkey,Performing,7
MBG133,monkey,Performing,4
MBG135,monkey,Performing,6
MBG136,monkey,Performing,7
MBG137,monkey,Performing,6
MBG139,monkey,Performing,6
MBG14,monkey,Dhamrai,6
MBG141,monkey,Performing,6
MBG142,monkey,Performing,5
MBG143,monkey,Performing,8
MBG144,monkey,Performing,6
MBG145,monkey,Karamjal,6
MBG146,monkey,Karamjal,7
MBG147,monkey,Karamjal,5
MBG148,monkey,Karamjal,9
MBG149,monkey,Karamjal,7
MBG150,monkey,Karamjal,9
MBG151,monkey,Karamjal,9
MBG152,monkey,Karamjal,5
MBG153,monkey,Karamjal,6
MBG154,monkey,Karamjal,8
MBG155,monkey,Karamjal,6
MBG156,monkey,Karamjal,5
MBG157,monkey,Dokhola,10
MBG158,monkey,Dokhola,8
MBG159,monkey,Dokhola,6
MBG160,monkey,Dokhola,11
MBG161,monkey,Dokhola,11
MBG162,monkey,Dokhola,6
MBG163,monkey,Dokhola,11
MBG164,monkey,Dokhola,6
MBG165,monkey,Dokhola,4
MBG166,monkey,Dokhola,5
MBG167,monkey,Dokhola,6
MBG168,monkey,Dokhola,3
MBG169,monkey,Dokhola,5
MBG170,monkey,Dokhola,5
MBG171,monkey,Dokhola,4
MBG172,monkey,Dokhola,8
MBG173,monkey,Dokhola,4
MBG174,monkey,Dhamrai,17
MBG175,monkey,Dhamrai,6
MBG177,monkey,Dhamrai,3
MBG180,monkey,Dhamrai,6
MBG181,monkey,Dhamrai,6
MBG182,monkey,Dhamrai,7
MBG183,monkey,Dhamrai,6
MBG184,monkey,Dhamrai,6
MBG185,monkey,Dhamrai,6
MBG186,monkey,Dhamrai,6
MBG187,monkey,Dhamrai,6
MBG188,monkey,Dhamrai,6
MBG189,monkey,Narayanganj,4
MBG190,monkey,Narayanganj,6
MBG191,monkey,Narayanganj,7
MBG192,monkey,Narayanganj,7
MBG193,monkey,Narayanganj,7
MBG194,monkey,Narayanganj,7
MBG195,monkey,Narayanganj,13
MBG196,monkey,Narayanganj,6
MBG197,monkey,Narayanganj,6
MBG198,monkey,Narayanganj,6
MBG199,monkey,Narayanganj,3
MBG200,monkey,Bormi,11
MBG201,monkey,Bormi,7
MBG202,monkey,Bormi,6
MBG203,monkey,Bormi,6
MBG204,monkey,Bormi,6
MBG205,monkey,Bormi,7
MBG206,monkey,Bormi,8
MBG207,monkey,Bormi,4
MBG208,monkey,Bormi,6
MBG209,monkey,Bormi,7
MBG210,monkey,Bormi,6
MBG212,monkey,Bormi,5
MBG214,monkey,Bormi,7
MBG228,monkey,Dhamrai,6
MBG229,monkey,Dhamrai,5
MBG230,monkey,Dhamrai,6
MBG231,monkey,Dhamrai,6
MBG232,monkey,Dhamrai,4
MBG233,monkey,Dhamrai,6
MBG236,monkey,Bormi,4
MBG237,monkey,Bormi,4
MBG238,monkey,Bormi,6
MBG239,monkey,Bormi,4
MBG240,monkey,Dokhola,5
MBG241,monkey,Dokhola,6
MBG242,monkey,Dokhola,6
MBG243,monkey,Dokhola,6
MBG244,monkey,Dokhola,6
MBG245,monkey,Dokhola,6
MBG246,monkey,Dokhola,6
MBG247,monkey,Dokhola,5
MBG26,monkey,Bormi,7
MBG269,monkey,Narayanganj,6
MBG27,monkey,Bormi,7
MBG270,monkey,Narayanganj,6
MBG28,monkey,Bormi,5
MBG29,monkey,Bormi,7
MBG30,monkey,Bormi,6
MBG31,monkey,Bormi,7
MBG32,monkey,Bormi,6
MBG33,monkey,Bormi,6
MBG34,monkey,Performing,6
MBG35,monkey,Performing,14
MBG36,monkey,Performing,5
MBG4,monkey,Dhamrai,8
MBG53,monkey,Charmaguria,5
MBG54,monkey,Charmaguria,5
MBG55,monkey,Charmaguria,6
MBG56,monkey,Charmaguria,7
MBG57,monkey,Charmaguria,8
MBG58,monkey,Charmaguria,7
MBG59,monkey,Charmaguria,6
MBG6,monkey,Dhamrai,8
MBG60,monkey,Charmaguria,15
MBG61,monkey,Charmaguria,6
MBG63,monkey,Charmaguria,7
MBG64,monkey,Charmaguria,7
MBG65,monkey,Charmaguria,3
MBG66,monkey,Charmaguria,6
MBG67,monkey,Charmaguria,5
MBG68,monkey,Charmaguria,6
MBG69,monkey,Charmaguria,7
MBG7,monkey,Performing,6
MBG70,monkey,Charmaguria,6
MBG8,monkey,Performing,6
MBG84,monkey,Bormi,14
MBG85,monkey,Bormi,7
MBG86,monkey,Bormi,11
MBG87,monkey,Bormi,8
MBG88,monkey,Bormi,7
MBG89,monkey,Bormi,6
MBG90,monkey,Bormi,7
MBG91,monkey,Bormi,12
MBG92,monkey,Charmaguria,6
MBG93,monkey,Charmaguria,6
MBG94,monkey,Charmaguria,5
MBG95,monkey,Charmaguria,6
MBG96,monkey,Charmaguria,6
MBG97,monkey,Charmaguria,6
MBG99,monkey,Charmaguria,6
